,index,Season,Episode,NumLines
0,0,1,1,259
1,1,1,2,246
2,2,1,3,260
3,3,1,4,270
4,4,1,5,310
5,5,1,6,271
6,6,2,1,260
7,7,2,2,311
8,8,2,3,248
9,9,2,4,275
10,10,2,5,319
11,11,2,6,316
12,12,3,1,293
13,13,3,2,283
14,14,3,3,254
15,15,3,4,241
16,16,3,5,291
17,17,3,6,282
18,18,4,1,348
19,19,4,2,305
20,20,4,3,326
21,21,4,4,321
22,22,4,5,347
23,23,4,6,324
24,24,5,1,298
25,25,5,2,290
26,26,5,3,262
27,27,5,4,343
28,28,5,5,290
29,29,5,6,313
30,30,6,1,328
31,31,6,2,339
32,32,6,3,288
33,33,6,4,392
34,34,6,5,354
35,35,6,6,330
36,36,7,1,334
37,37,7,2,318
38,38,7,3,327
39,39,7,4,353
40,40,7,5,366
41,41,7,6,336
42,42,8,1,308
43,43,8,2,303
44,44,8,3,364
45,45,8,4,349
46,46,8,5,320
47,47,8,6,353
48,48,9,1,360
49,49,9,2,272
50,50,9,3,386
51,51,9,4,338
52,52,9,5,390
53,53,9,6,372
